postcode,longitude,latitude
TW2 6,51.444393,-0.3740427
TW2 7,51.451724,-0.36769438
TW3 1,51.470271,-0.36098534
TW3 2,51.463952,-0.36375984
TW3 3,51.470774,-0.36927513
TW3 4,51.47324,-0.35719281
TW4 5,51.463737,-0.38392197
TW4 6,51.464984,-0.38631091
TW4 7,51.466868,-0.37811018
TW5 0,51.477373,-0.38346892
TW5 9,51.476793,-0.38839985
TW7 4,51.474162,-0.349888
TW7 5,51.475097,-0.3358722
TW7 6,51.471316,-0.32863775
TW7 7,51.46867,-0.32782739
TW8 0,51.483357,-0.30356965
TW8 8,51.483318,-0.30833826
TW8 9,51.491293,-0.30579592
TW9 1,51.460814,-0.30237592
TW9 2,51.470493,-0.29393925
TW9 3,51.483243,-0.28833623
TW9 4,51.479477,-0.28163672
UB1 1,51.5075,-0.37848347
UB1 2,51.512149,-0.37654582
UB1 3,51.517949,-0.35587297
UB10 0,51.536913,-0.47156588
UB10 8,51.559601,-0.46611694
UB10 9,51.549868,-0.45284333
UB2 4,51.506172,-0.3780551
UB2 5,51.50208,-0.3832432
UB3 1,51.503676,-0.41452537
UB3 2,51.507475,-0.41883172
UB3 3,51.514846,-0.4086466
UB3 4,51.495095,-0.4303958
UB4 0,51.525885,-0.41770399
UB4 8,51.5252,-0.42696795
UB4 9,51.526281,-0.39980039
UB5 4,51.548212,-0.36844058
UB5 5,51.546772,-0.37091504
UB5 6,51.544981,-0.36952241
UB6 0,51.542247,-0.34380685
UB6 7,51.537599,-0.31484837
UB6 8,51.531993,-0.30832234
